# Incomplete, work in progress table for converting the portions of GB 13132 (i.e. GB 7590 but
#   with Traditional Chinese forms) that aren't listed as Unihan Database sources to Unicode.
0x3025	U+53C0
0x3028	U+2219A
0x3029	U+231C7
0x302C	U+23343
0x302D	U+596D
0x302F	U+308C2
0x3030	U+31C31
0x3031	U+2219F
0x3032	U+24CC5
0x3034	U+21647
0x3035	U+269A7
0x3036	U+23C53
0x303B	U+21FE8
0x3043	U+269FF
0x3046	U+20984
0x3048	U+209AA
0x304A	U+209AB
0x304B	U+26F8F
0x304C	U+20DDE
0x304D	U+2235A
0x3051	U+20A34
0x3058	U+20A58
0x3059	U+20A4F
0x305F	U+20A69
0x3060	U+20A6B
0x3062	U+20A7A
0x3063	U+20A86
0x3065	U+20A87
0x3068	U+20A8A
0x306A	U+20A99
0x306B	U+20A9A
0x306C	U+21855
0x306D	U+20AAE
0x306F	U+24BCD
0x3070	U+2774F
0x3073	U+29D23
0x3074	U+2751E
0x3077	U+21B50
0x3079	U+21420
0x307A	U+20930
0x307D	U+268DE
0x307E	U+20934
0x3122	U+2721F
0x3123	U+2093C
0x3128	U+20966
0x3129	U+209D9
0x312A	U+209DE
0x312B	U+209E9
0x312E	U+209EA
0x312F	U+209F4
0x3130	U+79BC
0x3131	U+2053C
0x3138	U+2052F
0x313F	U+4FB4
0x3140	U+203B3
0x3141	U+20472
0x3143	U+24D18
0x3145	U+204F7
0x315D	U+201B6
0x315F	U+201F1
0x3166	U+2043D
0x316B	U+201D7
0x316D	U+2045F
0x316E	U+203EE
0x3176	U+203C0
0x3177	U+20236
0x3227	U+20231
0x3238	U+2026B
0x323B	U+20263
0x323C	U+2026A
0x323D	U+202A7
0x3248	U+202AC
0x324A	U+202AB
0x324E	U+203EC
0x3251	U+202FA
0x3262	U+203B8
0x3264	U+2037D
0x3266	U+2033C
0x326A	U+20377
0x326B	U+203AE
0x326C	U+20421
0x326D	U+20379
0x3273	U+203B7
0x3274	U+203E1
0x3279	U+2040D
0x327C	U+203EB
0x3321	U+203EF
0x3322	U+20424
0x3323	U+20458
0x3325	U+5139
0x3328	U+2046A
0x3330	U+208D8
0x3333	U+208DF
0x3334	U+208E4
0x3335	U+208EE
0x3336	U+208F9
0x3337	U+208F5
0x3339	U+208FE
0x333A	U+20904
0x333B	U+2090F
0x333C	U+22EB5
0x333D	U+20917
0x333F	U+29C21
0x3340	U+29C22
0x3341	U+20926
0x3342	U+3563
0x3345	U+20646
0x3346	U+29D06
0x3347	U+20633
0x334B	U+20648
0x334F	U+20FD5
0x3350	U+27643
0x3354	U+27669
0x3356	U+2016C
0x3357	U+27C04
0x3358	U+276A4
0x335B	U+2368F
0x335E	U+224B2
0x335F	U+27708
0x3361	U+205B9
0x3363	U+205CA
0x3364	U+51B8
0x3366	U+205C3
0x3369	U+205C2
0x336E	U+205E8
0x3372	U+375F
0x3378	U+20A18
0x337A	U+20A0E
0x337C	U+206A5
0x337D	U+206AA
0x3421	U+225AB
0x3424	U+20735
0x3427	U+207C8
0x342C	U+23B0E
0x342E	U+3011A
0x3430	U+206B7
0x3431	U+206BC
0x3433	U+206D0
0x3438	U+206CE
0x3439	U+20783
0x343C	U+20732
0x343E	U+206EA
0x343F	U+20719
0x3440	U+20710
0x3441	U+2077F
0x3442	U+20716
0x3443	U+20718
0x3446	U+2075F
0x3447	U+2073B
0x3449	U+20736
0x344A	U+20731
0x344C	U+2073E
0x3450	U+20769
0x3451	U+2075D
0x3456	U+2078A
0x3457	U+207AD
0x3458	U+20789
0x3459	U+20763
0x345A	U+20788
0x345D	U+20787
0x345E	U+20784
0x345F	U+207AE
0x3464	U+207CE
0x3465	U+207CD
0x3466	U+207C3
0x3468	U+207C9
0x346A	U+207E8
0x346B	U+2082F
0x346C	U+207FA
0x346D	U+20817
0x3470	U+27D25
0x3471	U+20843
0x3477	U+2086D
0x3479	U+243A4
0x347B	U+208A5
0x347D	U+20895
0x3525	U+208B2
0x3528	U+208CA
0x352D	U+21284
0x352E	U+290F6
0x352F	U+290F7
0x3530	U+28812
0x3531	U+235A4
0x3532	U+253F3
0x3533	U+2375C
0x3534	U+237FC
0x3537	U+20B38
0x353C	U+264BA
0x353D	U+20B57
0x353E	U+20B65
0x353F	U+20B6F
0x3540	U+20B74
0x3542	U+20B89
0x3543	U+20B8C
0x3544	U+243FB
0x3545	U+20B90
0x3546	U+2231A
0x354C	U+25041
0x354E	U+2722B
0x354F	U+263FA
0x3550	U+28F8A
0x3552	U+2123C
0x3557	U+5725
0x3558	U+20BB7
0x3566	U+21289
0x3569	U+2129E
0x356F	U+21292
0x3578	U+212BC
0x357C	U+2136B
0x367C	U+21523
0x3751	U+2AA07
0x3822	U+20BD6
0x3828	U+21096
0x382C	U+20C12
0x382E	U+2D1D2
0x3834	U+20C09
0x3835	U+20CAE
